name,lsoa,indicator_income,indicator_employment
Llanharan 2 ,W01001190,6,4
Llanharry 1 ,W01001191,7,5
Llanharry 2 ,W01001192,29,18
Llantrisant Town 1 ,W01001193,6,4
Llantrisant Town 2 ,W01001194,4,3
Llantrisant Town 3 ,W01001195,13,9
Llantwit Fardre 1 ,W01001196,7,6
Llantwit Fardre 2 ,W01001197,3,3
Llantwit Fardre 3 ,W01001198,8,6
Llantwit Fardre 4 ,W01001199,8,5
Llwyn-y-pia 1 ,W01001200,19,14
Llwyn-y-pia 2 ,W01001201,31,21
Maerdy 1 ,W01001202,31,24
Maerdy 2 ,W01001203,40,26
Mountain Ash East 1 ,W01001204,14,9
Mountain Ash East 2 ,W01001205,19,18
Mountain Ash West 1 ,W01001206,21,15
Mountain Ash West 2 ,W01001207,36,20
Mountain Ash West 3 ,W01001208,23,21
Penrhiwceiber 1 ,W01001209,45,27
Penrhiwceiber 2 ,W01001210,23,19
Penrhiwceiber 3 ,W01001211,24,15
Penrhiwceiber 4 ,W01001212,26,17
Pentre 1 ,W01001213,18,14
Pentre 2 ,W01001214,10,7
Pentre 3 ,W01001215,29,25
Pentre 4 ,W01001216,21,14
Pen-y-graig 1 ,W01001217,27,19
Pen-y-graig 2 ,W01001218,18,13
Pen-y-graig 3 ,W01001219,31,22
Pen-y-graig 4 ,W01001220,17,12
Pen-y-waun 1 ,W01001221,33,23
Pen-y-waun 2 ,W01001222,42,25
Pont-y-clun 1 ,W01001223,5,4
Pont-y-clun 2 ,W01001224,2,2
Pont-y-clun 3 ,W01001225,3,2
Pont-y-clun 4 ,W01001226,15,9
Pontypridd Town 1 ,W01001227,9,9
Pontypridd Town 2 ,W01001228,12,10
Porth 1 ,W01001229,16,12
Porth 2 ,W01001230,12,9
Porth 3 ,W01001231,22,14
Porth 4 ,W01001232,20,16
Rhigos ,W01001233,13,11
Rhondda 1 ,W01001234,15,11
Rhondda 2 ,W01001235,25,12
Rhondda 3 ,W01001236,10,7
Rhydfelen Central / Llan 1 ,W01001237,28,16
Rhydfelen Central / Llan 2 ,W01001238,41,25
Rhydfelen Central / Llan 3 ,W01001239,31,21
Taffs Well 1 ,W01001240,9,7
Taffs Well 2 ,W01001241,13,8
Talbot Green 1 ,W01001242,7,8
Talbot Green 2 ,W01001243,22,18
Ton-teg 1 ,W01001244,8,6
Ton-teg 2 ,W01001245,5,6
Ton-teg 3 ,W01001246,12,10
Tonypandy 1 ,W01001247,22,15
Tonypandy 2 ,W01001248,18,12
Tonyrefail East 1 ,W01001249,21,13
Tonyrefail East 2 ,W01001250,13,10
Tonyrefail East 3 ,W01001251,35,24
Tonyrefail East 4 ,W01001252,7,6
Tonyrefail West 1 ,W01001253,19,13
Tonyrefail West 3 ,W01001255,28,19
Trallwng 1 ,W01001256,18,10
Trallwng 2 ,W01001257,10,10
Trallwng 3 ,W01001258,18,12
Trealaw 1 ,W01001259,20,14
Trealaw 2 ,W01001260,32,22
Trealaw 3 ,W01001261,24,16
Treforest 1 ,W01001262,15,8
Treforest 2 ,W01001263,9,6
Treforest 3 ,W01001264,5,3
Treherbert 1 ,W01001265,20,16
Treherbert 2 ,W01001266,33,24
Treherbert 3 ,W01001267,28,19
Treherbert 4 ,W01001268,25,17
Treorchy 1 ,W01001269,16,12
Treorchy 2 ,W01001270,18,12
Treorchy 3 ,W01001271,22,16
Treorchy 4 ,W01001272,21,16
Treorchy 5 ,W01001273,17,13
Tylorstown 1 ,W01001274,47,29
Tylorstown 2 ,W01001275,26,18
Tylorstown 3 ,W01001276,33,23
Tyn-y-nant 1 ,W01001277,6,5
Tyn-y-nant 2 ,W01001278,18,10
Tyn-y-nant 3 ,W01001279,31,20
Ynyshir 1 ,W01001280,31,22
Ynyshir 2 ,W01001281,15,11
Ynysybwl 1 ,W01001282,24,16
Ynysybwl 2 ,W01001283,16,11
Ynysybwl 3 ,W01001284,6,6
Ystrad 1 ,W01001285,16,13
Ystrad 2 ,W01001286,20,12
Ystrad 3 ,W01001287,24,14
Ystrad 4 ,W01001288,31,24
Tonyrefail West 2 ,W01001914,6,4
Church Village 2 ,W01001915,4,4
Church Village 3 ,W01001916,3,2
Tonyrefail West 4 ,W01001917,13,11
Bedlinog 1 ,W01001289,17,14
Bedlinog 2 ,W01001290,18,13
Cyfarthfa 1 ,W01001291,16,9
Cyfarthfa 2 ,W01001292,35,25
Cyfarthfa 3 ,W01001293,19,14
Cyfarthfa 4 ,W01001294,4,5
Dowlais 1 ,W01001295,27,19
Dowlais 2 ,W01001296,14,10
Dowlais 3 ,W01001297,15,12
Dowlais 4 ,W01001298,22,16
Gurnos 1 ,W01001299,37,25
Gurnos 2 ,W01001300,34,22
Gurnos 3 ,W01001301,32,19
Merthyr Vale 1 ,W01001302,21,13
Merthyr Vale 2 ,W01001303,35,25
Merthyr Vale 3 ,W01001304,13,10
Park 1 ,W01001305,14,13
Park 2 ,W01001306,11,9
Park 3 ,W01001307,31,20
Penydarren 1 ,W01001308,46,25
Penydarren 2 ,W01001309,28,17
Penydarren 3 ,W01001310,13,10
Penydarren 4 ,W01001311,16,10
Plymouth (Merthyr Tydfil) 1 ,W01001312,21,16
Plymouth (Merthyr Tydfil) 2 ,W01001313,17,14
Plymouth (Merthyr Tydfil) 3 ,W01001314,15,11
Town 1 ,W01001315,19,17
Town 2 ,W01001316,10,7
Town 3 ,W01001317,22,14
Town 4 ,W01001318,11,10
Treharris 1 ,W01001319,6,5
Treharris 2 ,W01001320,16,15
Treharris 3 ,W01001321,19,13
Treharris 4 ,W01001322,18,14
Vaynor 2 ,W01001324,14,12
Vaynor 1 ,W01001898,19,13
Aberbargoed 1 ,W01001325,23,17
Aberbargoed 2 ,W01001326,31,20
Abercarn 1 ,W01001327,11,8
Abercarn 2 ,W01001328,19,13
Abercarn 3 ,W01001329,16,10
Aber Valley 1 ,W01001330,22,11
Aber Valley 2 ,W01001331,21,13
Aber Valley 3 ,W01001332,27,16
Aber Valley 4 ,W01001333,25,16
Argoed (Caerphilly) 1 ,W01001334,31,19
Argoed (Caerphilly) 2 ,W01001335,14,9
Bargoed 1 ,W01001336,19,16
Bargoed 2 ,W01001337,18,13
Bargoed 3 ,W01001338,19,15
Bargoed 4 ,W01001339,43,27
Bedwas Trethomas and Machen 1 ,W01001340,7,5
Bedwas Trethomas and Machen 2 ,W01001341,29,18
Bedwas Trethomas and Machen 3 ,W01001342,7,4
Bedwas Trethomas and Machen 4 ,W01001343,9,6
Bedwas Trethomas and Machen 5 ,W01001344,14,10
Bedwas Trethomas and Machen 6 ,W01001345,43,24
Bedwas Trethomas and Machen 7 ,W01001346,18,11
Blackwood 1 ,W01001347,14,10
Blackwood 2 ,W01001348,26,16
Blackwood 3 ,W01001349,7,6
Blackwood 4 ,W01001350,14,10
Blackwood 5 ,W01001351,7,6
Cefn Fforest 1 ,W01001352,24,15
Cefn Fforest 2 ,W01001353,23,18
Crosskeys 1 ,W01001354,12,9
Crosskeys 2 ,W01001355,19,13
Crumlin 1 ,W01001356,7,5
Crumlin 2 ,W01001357,9,6
Crumlin 3 ,W01001358,26,18
Crumlin 4 ,W01001359,13,11
Darren Valley 1 ,W01001360,14,10
Darren Valley 2 ,W01001361,25,22
Gilfach ,W01001362,20,18
Hengoed (Caerphilly) 1 ,W01001363,18,11
Hengoed (Caerphilly) 2 ,W01001364,31,20
Hengoed (Caerphilly) 3 ,W01001365,18,14
Llanbradach 1 ,W01001366,12,10
Llanbradach 2 ,W01001367,14,9
Llanbradach 3 ,W01001368,25,14
Maesycwmmer ,W01001369,13,9
Morgan Jones 1 ,W01001370,13,8
Morgan Jones 2 ,W01001371,26,16
Morgan Jones 3 ,W01001372,11,8
Morgan Jones 4 ,W01001373,13,9
Moriah 1 ,W01001374,21,16
Moriah 2 ,W01001375,24,21
Moriah 3 ,W01001376,32,24
Nelson 1 ,W01001377,12,10
Nelson 2 ,W01001378,23,13
Nelson 3 ,W01001379,13,8
Newbridge 1 ,W01001380,11,8
Newbridge 2 ,W01001381,28,18
Newbridge 3 ,W01001382,13,10
Newbridge 4 ,W01001383,17,10
New Tredegar 1 ,W01001384,17,13
New Tredegar 2 ,W01001385,25,17
New Tredegar 3 ,W01001386,36,22
Pengam 1 ,W01001387,21,14
Pengam 2 ,W01001388,26,16
Pengam 3 ,W01001389,15,11
Penmaen 1 ,W01001390,6,6
Penmaen 2 ,W01001391,16,10
Penmaen 3 ,W01001392,8,8
Penyrheol (Caerphilly) 1 ,W01001393,22,17
Penyrheol (Caerphilly) 2 ,W01001394,4,4
Penyrheol (Caerphilly) 3 ,W01001395,22,12
Penyrheol (Caerphilly) 4 ,W01001396,27,18
Penyrheol (Caerphilly) 5 ,W01001397,10,9
Penyrheol (Caerphilly) 6 ,W01001398,8,5
Penyrheol (Caerphilly) 7 ,W01001399,12,8
Penyrheol (Caerphilly) 8 ,W01001400,36,21
Pontllanfraith 1 ,W01001401,18,14
Pontllanfraith 2 ,W01001402,23,16
Pontllanfraith 3 ,W01001403,15,10
Pontllanfraith 4 ,W01001404,5,6
Pontllanfraith 5 ,W01001405,23,13
Pontlottyn ,W01001406,24,19
Risca East 1 ,W01001407,11,8
Risca East 2 ,W01001408,23,12
Risca East 3 ,W01001409,11,8
Risca East 4 ,W01001410,19,15
Risca West 1 ,W01001411,16,13
Risca West 2 ,W01001412,15,12
Risca West 3 ,W01001413,18,11
St. Cattwg 1 ,W01001414,26,17
St. Cattwg 2 ,W01001415,15,14
St. Cattwg 3 ,W01001416,14,12
St. Cattwg 4 ,W01001417,7,5
St. Cattwg 5 ,W01001418,24,15
St. James 1 ,W01001419,11,7
St. James 2 ,W01001420,9,7
St. James 3 ,W01001421,47,34
St. James 4 ,W01001422,33,22
St. Martins 1 ,W01001423,5,5
St. Martins 2 ,W01001424,18,9
St. Martins 3 ,W01001425,10,7
St. Martins 4 ,W01001426,6,6
St. Martins 5 ,W01001427,4,3
Twyn Carno 1 ,W01001428,43,31
Twyn Carno 2 ,W01001429,21,17
Ynysddu 1 ,W01001430,15,9
Ynysddu 2 ,W01001431,12,10
Ystrad Mynach 1 ,W01001432,12,8
Ystrad Mynach 2 ,W01001433,16,12
Ystrad Mynach 3 ,W01001434,4,5
Abertillery 1 ,W01001435,17,13
Abertillery 2 ,W01001436,22,19
Abertillery 3 ,W01001437,13,11
Badminton 1 ,W01001438,20,14
Badminton 2 ,W01001439,11,8
Beaufort 1 ,W01001440,21,15
Beaufort 2 ,W01001441,26,17
Beaufort 3 ,W01001442,9,7
Blaina 1 ,W01001443,21,18
Blaina 2 ,W01001444,20,14
Blaina 3 ,W01001445,16,13
Brynmawr 1 ,W01001446,14,10
Brynmawr 2 ,W01001447,25,16
Brynmawr 3 ,W01001448,20,17
Brynmawr 4 ,W01001449,20,16
Cwm 1 ,W01001450,18,13
Cwm 2 ,W01001451,25,17
Cwm 3 ,W01001452,9,7
Cwmtillery 1 ,W01001453,28,21
Cwmtillery 2 ,W01001454,20,15
Cwmtillery 3 ,W01001455,20,15
Ebbw Vale North 1 ,W01001456,24,17
Ebbw Vale North 2 ,W01001457,35,21
Ebbw Vale North 3 ,W01001458,14,10
Ebbw Vale South 1 ,W01001459,32,20
Ebbw Vale South 2 ,W01001460,18,14
Ebbw Vale South 3 ,W01001461,21,15
Georgetown 1 ,W01001462,15,13
Georgetown 2 ,W01001463,12,10
Llanhilleth 1 ,W01001464,28,21
Llanhilleth 2 ,W01001465,27,19
Llanhilleth 3 ,W01001466,23,18
Nantyglo 1 ,W01001467,28,15
Nantyglo 2 ,W01001468,22,18
Nantyglo 3 ,W01001469,34,20
Rassau 1 ,W01001470,11,9
Rassau 2 ,W01001471,29,17
Sirhowy 1 ,W01001472,11,10
Sirhowy 2 ,W01001473,35,23
Sirhowy 3 ,W01001474,21,16
Sirhowy 4 ,W01001475,12,11
Six Bells 1 ,W01001476,25,18
Six Bells 2 ,W01001477,19,11
Tredegar Central and West 1 ,W01001478,14,10
Tredegar Central and West 2 ,W01001479,40,29
Tredegar Central and West 3 ,W01001480,28,21
Tredegar Central and West 4 ,W01001481,30,21
Abersychan 1 ,W01001482,24,15
Abersychan 2 ,W01001483,31,19
Abersychan 3 ,W01001484,13,9
Abersychan 4 ,W01001485,25,18
Abersychan 5 ,W01001486,16,12
Blaenavon 1 ,W01001487,20,13
Blaenavon 2 ,W01001488,27,18
Blaenavon 3 ,W01001489,19,14
Blaenavon 4 ,W01001490,17,9
Brynwern ,W01001491,22,15
Coed Eva ,W01001492,14,8
Croesyceiliog North 1 ,W01001493,16,11
Croesyceiliog North 2 ,W01001494,9,6
Croesyceiliog South ,W01001495,11,7
Cwmyniscoy ,W01001496,23,16
Fairwater (Torfaen) 1 ,W01001497,22,14
Fairwater (Torfaen) 2 ,W01001498,27,15
Fairwater (Torfaen) 3 ,W01001499,13,9
Fairwater (Torfaen) 4 ,W01001500,5,5
Greenmeadow 1 ,W01001501,28,17
Greenmeadow 2 ,W01001502,8,5
Greenmeadow 3 ,W01001503,28,15
Llantarnam 1 ,W01001504,13,9
Llantarnam 2 ,W01001505,8,7
Llantarnam 3 ,W01001506,25,21
Llanyrafon North ,W01001507,12,8
Llanyrafon South 1 ,W01001508,6,8
Llanyrafon South 2 ,W01001509,3,3
New Inn 1 ,W01001510,14,9
New Inn 2 ,W01001511,14,9
New Inn 3 ,W01001512,3,3
New Inn 4 ,W01001513,4,5
Panteg 1 ,W01001514,7,6
Panteg 2 ,W01001515,11,7
Panteg 3 ,W01001516,21,14
Panteg 4 ,W01001517,6,4
Panteg 5 ,W01001518,7,6
Pontnewydd 1 ,W01001519,31,24
Pontnewydd 2 ,W01001520,13,8
Pontnewydd 3 ,W01001521,18,12
Pontnewydd 4 ,W01001522,19,14
Pontnewynydd ,W01001523,17,11
Pontypool ,W01001524,18,16
St. Cadocs and Penygarn ,W01001525,26,15
St. Dials 1 ,W01001526,25,16
St. Dials 2 ,W01001527,23,15
St. Dials 3 ,W01001528,16,12
Snatchwood ,W01001529,22,17
Trevethin 1 ,W01001530,39,23
Trevethin 2 ,W01001531,23,15
Two Locks 1 ,W01001532,25,15
Two Locks 2 ,W01001533,4,4
Two Locks 3 ,W01001534,14,10
Two Locks 4 ,W01001535,12,8
Upper Cwmbran 1 ,W01001536,32,18
Upper Cwmbran 2 ,W01001537,8,6
Upper Cwmbran 3 ,W01001538,30,18
Upper Cwmbran 4 ,W01001539,23,13
Wainfelin 1 ,W01001540,11,9
Wainfelin 2 ,W01001541,19,11
Caerwent ,W01001542,7,4
Caldicot Castle 1 ,W01001543,6,4
Cantref 1 ,W01001545,6,7
Cantref 2 ,W01001546,28,15
Crucorney ,W01001548,6,5
Devauden ,W01001549,4,4
Dewstow & Green Lane 2 ,W01001551,16,10
Dixton with Osbaston ,W01001552,2,2
Drybridge 1 ,W01001553,11,7
Drybridge 2 ,W01001554,8,6
Goetre Fawr 1 ,W01001555,4,4
Goetre Fawr 2 ,W01001556,9,8
Grofield ,W01001557,15,12
Lansdown ,W01001558,20,14
Larkfield ,W01001559,9,7
Llanbadoc ,W01001560,3,3
Llanelly Hill 1 ,W01001561,5,5
Llanelly Hill 2 ,W01001562,12,10
Llanelly Hill 3 ,W01001563,14,7
Castle & Llanfoist Fawr ,W01001564,11,8
Llangybi Fawr ,W01001565,6,4
Llanover 1 ,W01001566,10,15
Llanover 2 ,W01001567,10,8
Llantilio Crossenny ,W01001568,6,3
Llanwenarth Ultra ,W01001569,9,7
Mardy 2 ,W01001571,9,9
Mill 1 ,W01001572,8,7
Mill 2 ,W01001573,6,3
Mill 3 ,W01001574,6,4
Mitchel Troy ,W01001575,7,2
Overmonnow 1 ,W01001576,16,8
Overmonnow 2 ,W01001577,23,16
Portskewett ,W01001578,6,5
Priory 1 ,W01001579,7,7
Priory 2 ,W01001580,14,11
Raglan ,W01001581,7,5
Rogiet ,W01001582,10,6
St. Arvans ,W01001583,6,4
St. Christopher's ,W01001584,13,8
St. Kingsmark 1 ,W01001585,2,2
St. Kingsmark 2 ,W01001586,6,5
St. Mary's ,W01001587,13,11
Severn 1 ,W01001588,6,6
Severn 2 ,W01001589,17,11
Shirenewton ,W01001590,4,2
The Elms ,W01001591,3,3
Thornwell 1 ,W01001592,25,12
Thornwell 2 ,W01001593,15,8
Trellech United 1 ,W01001594,9,5
Trellech United 2 ,W01001595,3,3
Usk 1 ,W01001596,10,5
Usk 2 ,W01001597,5,3
West End ,W01001598,18,11
Wyesham ,W01001599,14,7
Dewstow ,W01001908,15,9
Croesonen ,W01001909,19,14
Allt-yr-yn 1 ,W01001600,5,3
Allt-yr-yn 2 ,W01001601,32,18
Allt-yr-yn 3 ,W01001602,7,4
Allt-yr-yn 4 ,W01001603,15,12
Allt-yr-yn 5 ,W01001604,6,6
Allt-yr-yn 6 ,W01001605,20,15
Alway 1 ,W01001606,7,6
Alway 2 ,W01001607,38,17
Alway 3 ,W01001608,9,7
Alway 4 ,W01001609,31,19
Alway 5 ,W01001610,24,11
Alway 6 ,W01001611,18,10
Beechwood 1 ,W01001612,14,10
Beechwood 2 ,W01001613,12,7
Beechwood 3 ,W01001614,31,20
Beechwood 4 ,W01001615,16,8
Beechwood 5 ,W01001616,9,7
Bettws (Newport) 1 ,W01001617,40,28
Bettws (Newport) 2 ,W01001618,25,19
Bettws (Newport) 3 ,W01001619,36,25
Bettws (Newport) 4 ,W01001620,24,15
Bettws (Newport) 5 ,W01001621,30,20
Bettws (Newport) 6 ,W01001622,16,11
Caerleon 1 ,W01001623,8,6
Caerleon 2 ,W01001624,4,2
Caerleon 3 ,W01001625,8,6
Caerleon 4 ,W01001626,11,10
Caerleon 5 ,W01001627,5,4
Caerleon 6 ,W01001628,25,16
Gaer 1 ,W01001629,12,10
Gaer 2 ,W01001630,28,19
Gaer 3 ,W01001631,9,6
Gaer 4 ,W01001632,21,12
Gaer 5 ,W01001633,33,15
Gaer 6 ,W01001634,18,11
Graig (Newport) 1 ,W01001635,6,7
Graig (Newport) 2 ,W01001636,5,2
Graig (Newport) 3 ,W01001637,9,5
Graig (Newport) 4 ,W01001638,4,2
Langstone 1 ,W01001639,6,4
Langstone 2 ,W01001640,4,4
Langstone 3 ,W01001641,4,5
Liswerry 1 ,W01001642,24,13
Liswerry 2 ,W01001643,31,15
Liswerry 3 ,W01001644,15,6
Liswerry 4 ,W01001645,19,9
Liswerry 5 ,W01001646,29,13
Liswerry 6 ,W01001647,14,8
Liswerry 7 ,W01001648,14,9
Llanwern 1 ,W01001649,10,8
Llanwern 2 ,W01001650,19,11
Malpas 1 ,W01001651,5,5
Malpas 2 ,W01001652,37,22
Malpas 3 ,W01001653,6,5
Malpas 4 ,W01001654,9,7
Malpas 5 ,W01001655,6,4
Marshfield 2 ,W01001657,4,2
Marshfield 3 ,W01001658,8,5
Pillgwenlly 1 ,W01001659,40,22
Pillgwenlly 2 ,W01001660,27,12
Pillgwenlly 3 ,W01001661,33,16
Pillgwenlly 4 ,W01001662,44,28
Ringland 1 ,W01001663,28,11
Ringland 2 ,W01001664,30,18
Ringland 3 ,W01001665,21,10
Ringland 4 ,W01001666,31,18
Ringland 5 ,W01001667,35,19
Ringland 6 ,W01001668,33,16
Rogerstone 1 ,W01001669,2,3
Rogerstone 2 ,W01001670,5,3
Rogerstone 3 ,W01001671,18,12
Rogerstone 4 ,W01001672,12,7
Rogerstone 5 ,W01001673,4,4
Rogerstone 6 ,W01001674,14,9
St. Julians 1 ,W01001675,13,9
St. Julians 2 ,W01001676,19,13
St. Julians 3 ,W01001677,10,5
St. Julians 4 ,W01001678,23,16
St. Julians 5 ,W01001679,8,5
St. Julians 6 ,W01001680,15,7
Shaftesbury 1 ,W01001681,34,17
Shaftesbury 2 ,W01001682,23,12
Shaftesbury 3 ,W01001683,13,7
Shaftesbury 4 ,W01001684,12,8
Stow Hill 1 ,W01001685,24,15
Stow Hill 2 ,W01001686,17,10
Stow Hill 3 ,W01001687,27,21
Tredegar Park 1 ,W01001688,18,10
Tredegar Park 2 ,W01001689,39,22
Victoria 1 ,W01001690,24,12
Victoria 2 ,W01001691,29,17
Victoria 3 ,W01001692,28,14
Victoria 4 ,W01001693,28,17
Marshfield 4 ,W01001912,7,5
Marshfield 5 ,W01001913,6,3
