Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank
S01006753,Dyce,Aberdeen City,868,511,5837,5492,5249,4915,5189,3901,5250,5910
S01006754,Dyce,Aberdeen City,841,465,5767,6030,5626,5949,4872,2101,3513,6104
S01006755,Dyce,Aberdeen City,812,546,4563,4643,5991,5838,4487,801,1118,3866
S01006756,Danestone,Aberdeen City,774,526,5974,6115,6931,5326,6024,1586,2775,3794
S01006757,Danestone,Aberdeen City,920,570,6705,6697,6327,4601,5034,6014,6687,5386
S01006758,Danestone,Aberdeen City,663,440,6849,6184.5,6397,6470,6414,5612,4413,5619
S01006759,Danestone,Aberdeen City,592,386,6793,6295,6621,6758,5444,4227,5398,5832
S01006760,Danestone,Aberdeen City,439,310,6343,5095,6228,6229,4620,6623,5753,2884
S01006761,Danestone,Aberdeen City,674,420,6632,6715,6283,6196,4527,4934,4748,4199
S01006762,Oldmachar West,Aberdeen City,1061,594,5401,5716,5560,4589,4746,2052,3833,5178
S01006763,Oldmachar West,Aberdeen City,840,614,6060,5105,6307,6673,5641,2036,6201,5583
S01006764,Oldmachar West,Aberdeen City,708,533,6489,6488,6043,6001,5674,3053,6316,3955
S01006765,Oldmachar West,Aberdeen City,536,394,5678,6169,4802.5,6004,4426,2840,6728,1964
S01006766,Oldmachar West,Aberdeen City,593,434,6412,6376,6010,6456,5548,2394,6753.5,4696
S01006767,Oldmachar West,Aberdeen City,654,420,5569,5264,4741,5293,5560,3159,5590,4110
S01006768,Oldmachar East,Aberdeen City,620,412,6877,6923,6561,6771,5385,3932,6179,6750
S01006769,Oldmachar East,Aberdeen City,922,569,4848,4541,4693,3847,4499,2429,6503,4933
S01006770,Oldmachar East,Aberdeen City,593,337,6181,6023,5074,6389,5290,3307,6753.5,5667
